,Feature,Binary Cross Entropy
21,jet_DL1r_1,1.000000082790371e-10
22,jet_DL1r_2,0.6988065947424875
5,delPhi_0_lep_MET,1.5035144698926466
32,el_phi_3,1.9445452267766694
28,el_eta_2,1.9776666069472089
16,jet_eta_2,2.023270938104665
3,Z_phi,2.040535858507264
4,Z_eta,2.0696198024240586
15,jet_eta_1,2.105216084380071
30,el_phi_1,2.1983650601339293
27,el_eta_1,2.3184014127465282
31,el_phi_2,2.321405099322054
29,el_eta_3,3.0500076692453524
40,mu_eta_2,3.609112142310362
26,el_pt_3,11.512925423650046
25,el_pt_2,11.512925423650046
34,el_e_2,11.512925423650046
35,el_e_3,11.512925423650046
24,el_pt_1,11.512925423650046
46,mu_e_2,11.512925423650046
33,el_e_1,11.512925423650046
0,Unnamed: 0,11.512925423650046
18,jet_e_1,11.512925423650046
19,jet_e_2,11.512925423650046
36,mu_pt_1,11.512925423650046
45,mu_e_1,11.512925423650046
11,jet_pt_3,11.512925423650046
10,jet_pt_2,11.512925423650046
9,jet_pt_1,11.512925423650046
8,num_bjets,11.512925423650046
7,num_jets,11.512925423650046
6,MET,11.512925423650046
2,Z_mass,11.512925423650046
1,Z_pt,11.512925423650046
20,jet_e_3,11.512925423650046
37,mu_pt_2,11.512925423650046
43,mu_phi_2,11.51292546502023
44,mu_phi_3,11.51292546502023
23,jet_DL1r_3,11.51292546502023
14,jet_phi_3,11.51292546502023
13,jet_phi_2,11.51292546502023
12,jet_phi_1,11.51292546502023
41,mu_eta_3,11.516887238042044
39,mu_eta_1,11.518399162649622
42,mu_phi_1,11.519158413585826
17,jet_eta_3,11.519552749819063
38,mu_pt_3,23.025850888570275
47,mu_e_3,23.025850888570275
