Feature,BCE_Score
Unnamed: 0,18.021826694558573
Z_pt,18.021826694558573
Z_mass,18.021826694558573
Z_phi,15.282329772025667
Z_eta,12.636124031759929
delPhi_0_lep_MET,16.28332218304476
MET,18.016639797830052
num_jets,18.021826694558573
num_bjets,18.021826694558573
num_fake_leps,18.02362887722803
jet_pt_1,18.021826694558573
jet_pt_2,18.021826694558573
jet_pt_3,18.021826694558573
jet_phi_1,15.28195203896979
jet_phi_2,15.421111906355232
jet_phi_3,15.30668013682832
jet_eta_1,13.111225028306668
jet_eta_2,13.455836983103993
jet_eta_3,13.3256071036845
jet_e_1,18.021826694558573
jet_e_2,18.021826694558573
jet_e_3,18.021826694558573
jet_DL1r_1,17.072242104169536
jet_DL1r_2,17.351186175108722
jet_DL1r_3,17.682035812429937
el_pt_1,23.66626281529432
el_pt_2,28.755626673837657
el_pt_3,22.684073260440876
el_eta_1,14.613048674193957
el_eta_2,17.525863172617367
el_eta_3,17.89632878791648
el_phi_1,18.134622272842407
el_phi_2,20.663885232120048
el_phi_3,19.293178595851753
el_e_1,23.66626281529432
el_e_2,28.755626673837657
el_e_3,22.684073260440876
mu_pt_1,13.359580128676269
mu_pt_2,7.288026715279487
mu_pt_3,12.377390573822826
mu_eta_1,12.923528319938121
mu_eta_2,12.770288159468334
mu_eta_3,15.239884308603884
mu_phi_1,14.12566565966809
mu_phi_2,12.596067182119437
mu_phi_3,15.26655129876055
mu_e_1,13.359580128676269
mu_e_2,7.288026715279487
mu_e_3,12.377390573822826
